file_name,table_id,merged_group_id,order,anchor_page,pages,path_names,style,style_signature,confidence,col_count,row_count,has_separator,header_is_semantic,row_header_is_semantic,graphic_only,has_graphic,sparse,prev_text,next_text,notes,table_path
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_1,1110921新興科技資通安全自律規範及修正對照表_table_1,1,1,[1],六、,僅欄名,僅欄名|cols=1|header=1|row_header=0|graphic=0,0.78,1,4,1,1,0,0,0,0,單,一、公務用行動裝置設備管理辦法。,單欄表，首列更像欄名,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_1.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_2,1110921新興科技資通安全自律規範及修正對照表_table_2,2,2,[2],一、,僅欄名,僅欄名|cols=1|header=1|row_header=0|graphic=0,0.78,1,2,1,1,0,0,0,0,一、公務用行動裝置設備管理辦法。,一、公務用行動裝置設備管理辦法。,單欄表，首列更像欄名,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_2.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_3,1110921新興科技資通安全自律規範及修正對照表_table_3,3,2,[2],一、,僅欄名,僅欄名|cols=1|header=1|row_header=0|graphic=0,0.66,1,1,1,1,0,0,0,0,一、公務用行動裝置設備管理辦法。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,單欄表，首列更像欄名 | 資料列過少，分類信心偏低,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_3.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_4,1110921新興科技資通安全自律規範及修正對照表_table_4,4,6,[6],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,4,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_4.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_5,1110921新興科技資通安全自律規範及修正對照表_table_4,5,7,[7],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,7,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_5.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_6,1110921新興科技資通安全自律規範及修正對照表_table_4,6,8,[8],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,7,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_6.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_7,1110921新興科技資通安全自律規範及修正對照表_table_4,7,9,[9],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,6,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_7.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_8,1110921新興科技資通安全自律規範及修正對照表_table_4,8,10,[10],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,6,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_8.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_9,1110921新興科技資通安全自律規範及修正對照表_table_4,9,11,[11],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,6,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_9.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_10,1110921新興科技資通安全自律規範及修正對照表_table_4,10,12,[12],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,6,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_10.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_11,1110921新興科技資通安全自律規範及修正對照表_table_4,11,13,[13],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,5,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_11.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_12,1110921新興科技資通安全自律規範及修正對照表_table_4,12,14,[14],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,6,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_12.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_13,1110921新興科技資通安全自律規範及修正對照表_table_4,13,15,[15],第十二條,僅欄名,僅欄名|cols=8|header=1|row_header=0|graphic=0,0.82,8,4,1,1,0,0,1,0,F類檢測為加測項目，視送檢單位之需求自行選擇是否加測。,填寫人： 單位主管：,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_13.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_14,1110921新興科技資通安全自律規範及修正對照表_table_4,14,16,[16],第十二條,欄列皆有名,欄列皆有名|cols=8|header=1|row_header=1|graphic=0,0.9,8,4,1,1,1,0,1,0,填寫人： 單位主管：,、,,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_14.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_15,1110921新興科技資通安全自律規範及修正對照表_table_15,15,17,[17],第十二條,僅欄名,僅欄名|cols=9|header=1|row_header=0|graphic=0,0.74,9,3,1,1,0,0,0,1,、,、,表格偏稀疏,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_15.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_16,1110921新興科技資通安全自律規範及修正對照表_table_15,16,18,[18],第十二條,僅欄名,僅欄名|cols=9|header=1|row_header=0|graphic=0,0.74,9,3,1,1,0,0,0,1,、,、,表格偏稀疏,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_16.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_17,1110921新興科技資通安全自律規範及修正對照表_table_17,17,18,[18],第十二條,僅欄名,僅欄名|cols=1|header=1|row_header=0|graphic=0,0.78,1,4,1,1,0,0,0,0,、,、,單欄表，首列更像欄名,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_17.md
1110921新興科技資通安全自律規範及修正對照表.md,1110921新興科技資通安全自律規範及修正對照表_table_18,1110921新興科技資通安全自律規範及修正對照表_table_18,18,18,[18],第十二條,僅欄名,僅欄名|cols=1|header=1|row_header=0|graphic=0,0.78,1,3,1,1,0,0,0,0,、,、,單欄表，首列更像欄名,C:\Users\user\Desktop\大三下\EY\法規資料_md_clean\tables\1110921新興科技資通安全自律規範及修正對照表\1110921新興科技資通安全自律規範及修正對照表_table_18.md
